car_id,brand,model,year,engine_hp,engine_cylinders,fuel_type,transmission,driven_wheels,doors,market_category,price,popularity_score,popularity_level
1,Subaru,Outback,2017,327,6,Petrol,CVT,RWD,5,SUV,35007,619,Medium
2,BMW,5 Series,2019,126,4,Petrol,Automatic,AWD,5,SUV,30909,618,Medium
3,Ford,Explorer,2019,131,4,Diesel,Automatic,AWD,4,SUV,30710,608,Medium
4,Hyundai,Elantra,2021,143,4,Petrol,Manual,AWD,4,Coupe,29925,493,Low
5,Ford,F-150,2016,309,6,Petrol,Automatic,AWD,4,SUV,33963,571,Low
6,Subaru,WRX,2017,179,4,Hybrid,Automatic,FWD,4,SUV,27673,647,High
7,Jeep,Grand Cherokee,2019,383,8,Petrol,Manual,FWD,5,SUV,37228,578,Medium
8,Ram,2500,2019,120,4,Petrol,Automatic,FWD,3,Sedan,31631,534,Low
9,Hyundai,Sonata,2024,314,6,Hybrid,Automatic,FWD,3,Truck,37517,686,High
10,Porsche,Macan,2016,391,8,Hybrid,Automatic,FWD,4,SUV,31651,658,High
11,Toyota,Camry,2019,141,4,Petrol,Manual,RWD,4,Truck,22986,543,Low
12,Toyota,Camry,2024,120,4,Hybrid,Manual,RWD,4,Truck,28777,635,Medium
13,Volkswagen,Tiguan,2020,96,4,Petrol,CVT,AWD,4,SUV,26768,544,Low
14,Genesis,GV80,2022,126,4,Electric,Automatic,FWD,4,SUV,37620,601,Medium
15,Ferrari,Portofino,2017,110,4,Petrol,CVT,FWD,2,SUV,24702,589,Medium
16,Buick,Enclave,2023,208,4,Petrol,Automatic,RWD,4,Sedan,42504,597,Medium
17,Audi,A4,2016,368,8,Petrol,Automatic,RWD,5,Sedan,36887,584,Medium
18,Tesla,Model Y,2016,125,4,Petrol,Automatic,RWD,4,SUV,19722,510,Low
19,Suzuki,Swift,2022,320,6,Petrol,Automatic,AWD,4,SUV,42566,682,High
20,Hyundai,Sonata,2024,243,4,Diesel,Automatic,FWD,4,SUV,47452,571,Low
21,Suzuki,Swift,2019,279,6,Petrol,Manual,AWD,5,Sedan,29777,516,Low
22,Nissan,Murano,2019,349,6,Hybrid,Automatic,FWD,4,Coupe,45871,523,Low
23,Porsche,Cayenne,2016,395,8,Petrol,Automatic,AWD,4,SUV,30589,611,Medium
24,Toyota,Camry,2016,155,4,Diesel,Automatic,FWD,4,SUV,20271,495,Low
25,BMW,X5,2017,116,4,Diesel,Automatic,FWD,4,SUV,28628,540,Low
26,Alfa Romeo,Stelvio,2015,389,8,Electric,CVT,AWD,5,SUV,32065,636,Medium
27,Tesla,Model X,2023,166,4,Petrol,Automatic,FWD,4,SUV,46052,576,Low
28,Nissan,Rogue,2018,196,4,Diesel,Automatic,AWD,5,SUV,29609,620,Medium
29,Jeep,Wrangler,2023,278,6,Diesel,Automatic,AWD,4,Coupe,44725,644,Medium
30,Genesis,GV70,2015,375,8,Petrol,CVT,AWD,4,Hatchback,27413,552,Low
31,Porsche,911,2015,287,6,Petrol,Automatic,RWD,4,SUV,30268,655,High
32,Porsche,911,2024,183,4,Petrol,Manual,RWD,4,Hatchback,46654,664,High
33,Mitsubishi,Eclipse Cross,2017,150,4,Petrol,Automatic,FWD,5,SUV,31258,495,Low
34,Ferrari,488 GTB,2022,236,4,Petrol,CVT,AWD,5,Sedan,38068,518,Low
35,Porsche,911,2021,170,4,Petrol,CVT,FWD,4,SUV,38051,642,Medium
36,Honda,Accord,2024,404,8,Petrol,CVT,FWD,5,Coupe,54721,711,High
37,Toyota,Camry,2017,150,4,Hybrid,Automatic,AWD,4,Sedan,27356,433,Low
38,Mini,Countryman,2017,446,8,Petrol,CVT,AWD,5,Coupe,36990,646,Medium
39,Volvo,XC60,2023,106,4,Hybrid,Automatic,FWD,4,Van,37528,561,Low
40,Toyota,Camry,2023,299,6,Petrol,Manual,FWD,5,SUV,40489,604,Medium
41,Ford,F-150,2024,150,4,Diesel,Automatic,RWD,5,Sedan,41959,748,High
42,Ford,Escape,2016,125,4,Petrol,Automatic,RWD,4,SUV,18052,440,Low
43,Kia,K5,2015,145,4,Petrol,Automatic,RWD,4,Coupe,23211,545,Low
44,Mini,Cooper,2020,175,4,Diesel,Automatic,RWD,5,Truck,32128,581,Medium
45,Mini,Cooper,2018,389,8,Petrol,Manual,FWD,5,Sedan,38500,542,Low
